State,District,Name,Cluster,Cluster_Label,PC1,PC2,Anomaly_Flag,Anomaly_Score,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Agri_Worker_Pct,Main_Worker_Pct
27,520,Raigarh,1,Cluster 1,1.993,0.514,1,0.1329,959.4672498502988,11.419596082302029,5.123073418874801,11.583213119732749,83.14075902605013,76.9174041942302,12.214134999719208,40.73225267633437,24.74123060343992,26.212313682874345,80.0419210620251
27,521,Pune,1,Cluster 1,2.6234,0.5213,1,0.1138,914.9486048733728,11.718222395297776,12.521496577515787,3.6998717204728018,86.15252492987824,81.05105857548854,9.790774395111626,42.94005519752672,27.504853724599656,29.594296655983356,92.64577636958128
27,522,Ahmadnagar,3,Cluster 3,0.5473,1.7737,1,0.0987,939.1798363087298,12.238488681553958,12.62773325784988,8.325264425039935,79.0513011189711,70.89194562466123,15.927122547220804,48.52548634111199,41.09744247918725,66.7174848838106,92.50949156078909
27,523,Bid,3,Cluster 3,-0.0586,1.4848,1,0.0825,916.1200083610923,13.65119191164268,13.587904910119692,1.265817398432293,76.98855681875708,67.82188226260273,17.7330502639321,48.5696015820203,42.69849014072656,72.3938073255662,91.96844724375332
27,524,Latur,3,Cluster 3,0.7213,0.5329,1,0.1089,927.6717407355044,12.949699209028129,19.595541676377927,2.3424371973550606,77.26472522508817,69.63185009529977,14.758544355615824,42.65580255203741,31.906954454318846,66.40333875591413,92.102073158034
27,525,Osmanabad,3,Cluster 3,0.5333,1.2519,1,0.0993,923.9798731334188,12.49390676505934,15.998301133703674,2.174198950757009,78.44368760686118,70.51455711395357,15.322142343558667,46.6896238845157,37.70170129428007,70.98987487014095,90.6938220685449
27,526,Solapur,3,Cluster 3,0.7082,0.7368,1,0.1227,938.080267450441,12.470667633835724,15.04821022772014,1.7970445759324982,77.01621171946256,68.54566136731017,16.484666036829836,43.967167204446014,33.08582595181406,58.77586066124279,92.87714095327895
27,527,Satara,3,Cluster 3,1.5898,1.4911,1,0.1247,988.1238408781328,10.58296970344647,10.761114223896136,0.9866030393432724,82.86721253857243,76.31095451624026,13.110709930459308,45.10864951405597,34.17123328503804,56.49468207981568,87.41352982810398
27,528,Ratnagiri,3,Cluster 3,1.3675,2.0476,1,0.0618,1121.9608971503874,9.631786629549572,4.145209895057115,1.261494090964535,82.17777348409636,74.52990223712985,16.39590726597538,44.21334320700849,35.95862979947257,46.15181017146634,77.71903830964771
27,529,Sindhudurg,1,Cluster 1,2.2149,0.9847,1,0.0721,1035.9114565861234,8.379087413538029,6.542215568509895,0.8210429929465157,85.56235532295898,79.81163351416515,11.771545992432308,40.861247735835065,27.179467013941093,34.4229761102374,65.25125439976036
27,530,Kolhapur,3,Cluster 3,1.6348,0.8535,1,0.1413,956.9259306755634,10.550616473009166,13.01498632224295,0.7793083644715262,81.50553538315904,74.21705095543642,14.348460983725616,43.96423014338748,30.54064620493494,47.0551989549627,88.5278870270543
27,531,Sangli,3,Cluster 3,1.5395,0.9283,1,0.1342,965.652964907002,10.870356321419573,12.511520500555784,0.6496127233807784,81.47788433174338,74.59181844270827,13.623835027988363,43.05607476304355,29.925383092364115,55.78814652902139,88.46551406299379
28,532,Adilabad,3,Cluster 3,-1.131,1.3094,1,0.1174,1001.4931399528476,11.308463070896044,17.823911012502013,18.08649300553509,61.01177708394088,51.3115608691418,19.5017816595482,48.28717962935738,41.90072919901841,51.072059664553095,80.56860222397326
28,533,Nizamabad,3,Cluster 3,-0.9667,1.6063,1,0.0986,1040.0218767815863,11.069381323895138,14.544307196036584,7.562354610429442,61.25430711907615,51.54471852235195,19.924914205131262,49.428083728714576,44.34217425466712,47.44218429341293,83.73523879607573
