State,District,Subdistt,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Main_Worker_Pct,Marginal_Worker_Pct,Non_Worker_Pct,Agri_Worker_Pct
15,287,00000,DISTRICT,Lawngtlai,Total,22984,117894,60599,57295,22483,11433,11050,146,105,41,112354,57044,55310,62861,36444,26417,55033,24155,30878,45566,28517,17049,38082,25757,12325,25404,16143,9261,1463,1127,336,412,185,227,10803,8302,2501,7484,2760,4724,3785,975,2810,1690,601,1089,201,101,100,1808,1083,725,72328,32082,40246,945.477648146009,19.07052097647039,0.12384005971465893,95.30086348753966,65.88443680498057,74.12439490704958,57.12401340685479,17.000381500194784,38.6499737051928,29.756523256828693,83.57547294035027,16.424527059649737,61.3500262948072,58.962823157617514
15,288,00000,DISTRICT,Saiha,Total,11144,56574,28594,27980,9653,4997,4656,83,52,31,54642,27226,27416,42233,21861,20372,14341,6733,7608,19461,12211,7250,14694,9960,4734,7064,4380,2684,192,114,78,153,118,35,7285,5348,1937,4767,2251,2516,1844,869,975,765,274,491,160,71,89,1998,1037,961,37113,16383,20730,978.5269636986781,17.062608265280872,0.1467105030579418,96.58500371195248,90.00873809168603,92.64313260160189,87.34350883210426,5.299623769497629,34.3991939760314,25.91136526090064,75.50485586557731,24.49514413442269,65.6008060239686,37.28482606238117
16,289,00000,DISTRICT,West Tripura,Total,410565,1725739,879428,846311,190850,97787,93063,338094,172522,165572,431944,217278,214666,1361354,722998,638356,364385,156430,207955,698178,500406,197772,524198,431743,92455,94721,82291,12430,88018,67956,20062,11921,7796,4125,329538,273700,55838,173980,68663,105317,20454,8416,12038,68090,25334,42756,13242,2749,10493,72194,32164,40030,1027561,379022,648539,962.3425681238259,11.059030363224103,19.591259164914277,25.0295090972621,88.69397070407045,92.49745087578569,84.74712179786736,7.750329077918323,40.45675504812721,23.36871433787343,75.08085330674984,24.919146693250145,59.543244951872786,26.17369782490998
16,290,00000,DISTRICT,South Tripura,Total,208127,876001,447544,428457,111949,57382,54567,140168,72012,68156,344835,173174,171661,646810,351082,295728,229191,96462,132729,366845,253229,113616,258457,212050,46407,72477,60730,11747,66460,50401,16059,2947,2160,787,116573,98759,17814,108388,41179,67209,13053,4117,8936,44872,16766,28106,3428,833,2595,47035,19463,27572,509156,194315,314841,957.3516793879484,12.779551621516413,16.000894976147286,39.364681090546696,84.65523288990802,89.98364781808583,79.09492096605953,10.888726852026295,41.8772352999597,26.517480167204642,70.45400646049421,29.545993539505787,58.1227647000403,37.873488803173
16,291,00000,DISTRICT,Dhalai,Total,84509,378230,194544,183686,56011,28460,27551,61688,31461,30227,210608,106759,103849,276217,151643,124574,102013,42901,59112,155831,105657,50174,108259,88877,19382,36725,30535,6190,20934,16202,4732,1194,771,423,49406,41369,8037,47572,16780,30792,9231,3409,5822,21267,6420,14847,1676,275,1401,15398,6676,8722,222399,88887,133512,944.1874331770705,14.808714274383311,16.30965285672739,55.68252121724876,85.72337447512406,91.30500228799885,79.78608255676177,11.518919731237077,41.20006345345425,27.315092059275063,69.47205626608313,30.527943733916874,58.79993654654575,37.00098183288306
16,292,00000,DISTRICT,North Tripura,Total,152355,693947,352860,341087,99204,50379,48825,114968,58375,56593,179426,91116,88310,520402,275646,244756,173545,77214,96331,248667,186034,62633,186105,155211,30894,42784,36561,6223,26451,22291,4160,3234,2087,1147,113636,94272,19364,62562,30823,31739,6502,2809,3693,17526,8736,8790,3854,814,3040,34680,18464,16216,445280,166826,278454,966.6354928300176,14.295616235822045,16.567259459295883,25.855865073269285,87.5003152622225,91.1283683933867,83.74540651880847,7.382961874578228,35.83371640773719,18.362763752356436,74.84105249188674,25.15894750811326,64.1662835922628,27.842455975260087
17,293,00000,DISTRICT,West Garo Hills,Total,123352,643291,324159,319132,112514,56950,55564,8810,4535,4275,474009,236772,237237,358702,193438,165264,284589,130721,153868,255693,151914,103779,188371,123377,64994,98319,58895,39424,20540,12653,7887,3957,2171,1786,65555,49658,15897,67322,28537,38785,22421,9403,13018,19185,6384,12801,3686,1257,2429,22030,11493,10537,387598,172245,215353,984.4921782211816,17.490373718892382,1.369520170498266,73.68500414275965,67.58054700938435,72.3920227237855,62.70260426151884,9.689418462266659,39.74764142510932,32.519145682664224,73.67076924280289,26.32923075719711,60.25235857489067,46.48504260969209
17,294,00000,DISTRICT,East Garo Hills,Total,58328,317917,161223,156694,58071,29328,28743,509,304,205,305180,153861,151319,192147,102513,89634,125770,58710,67060,126073,72262,53811,83936,56056,27880,55156,35812,19344,8054,4847,3207,1240,613,627,19486,14784,4702,42137,16206,25931,22234,7878,14356,11192,4169,7023,1235,393,842,7476,3766,3710,191844,88961,102883,971.9084745972968,18.266088318649206,0.16010468141055684,95.99360839464389,73.94649138335784,77.72318890026158,70.0533798094583,7.66980909080327,39.65594793609653,34.341455320561096,66.5773004529122,33.422699547087795,60.344052063903476,50.137618681240234
17,295,00000,DISTRICT,South Garo Hills,Total,24527,142334,73170,69164,27909,14136,13773,319,188,131,134237,68140,66097,82062,45003,37059,60272,28167,32105,53069,32826,20243,38397,26435,11962,22068,13935,8133,2781,1842,939,464,316,148,13084,10342,2742,14672,6391,8281,6077,2439,3638,2784,915,1869,785,291,494,5026,2746,2280,89265,40344,48921,945.2507858411917,19.60810488007082,0.22412073011367628,94.311267862914,71.71684509504041,76.23234068502896,66.9043707461501,9.327969938878866,37.28483707336265,29.268116361112718,72.3529744295163,27.647025570483706,62.71516292663735,46.823946183270834
17,296,00000,DISTRICT,West Khasi Hills,Total,64906,383461,193715,189746,87214,44342,42872,168,93,75,375097,189134,185963,230678,117307,113371,152783,76408,76375,163345,89694,73651,119803,69204,50599,71021,38578,32443,19987,11606,8381,1416,748,668,27379,18272,9107,43542,20490,23052,13935,5842,8093,17197,8120,9077,1059,321,738,11351,6207,5144,220116,104021,116095,979.5111374958057,22.743903552121335,0.04381149582356485,97.81881338649823,77.86678008553673,78.53293433217516,77.18929150155915,1.3436428306160053,42.597552293453575,38.8155745048644,73.34353668615508,26.65646331384493,57.40244770654643,55.715204016039664
17,297,00000,DISTRICT,Ribhoi,Total,46872,258840,132531,126309,52862,27074,25788,590,329,261,230081,115907,114174,155859,80977,74882,102981,51554,51427,106473,63871,42602,90875,57058,33817,50955,29851,21104,14216,8963,5253,1277,523,754,24427,17721,6706,15598,6813,8785,4878,1760,3118,5773,2720,3053,399,131,268,4548,2202,2346,152367,68660,83707,953.0524933789077,20.422654921959513,0.2279400401792613,88.88927522794005,75.66778976395537,76.78674720502195,74.49388684951404,2.292860355507912,41.13467779323134,33.72839623463095,85.35027659594451,14.649723404055488,58.86532220676865,61.208944990748826
17,298,00000,DISTRICT,East Khasi Hills,Total,164046,825922,410749,415173,139055,70805,68250,5642,2924,2718,661158,320048,341110,578030,287270,290760,247892,123479,124413,326786,204303,122483,289576,186123,103453,70086,39461,30625,30464,19563,10901,2332,1489,843,186694,125610,61084,37210,18180,19030,6681,2560,4121,10425,5245,5180,634,298,336,19470,10077,9393,499136,206446,292690,1010.770567913738,16.836335634599877,0.6831153547187264,80.05090069037996,84.15457432079282,84.50509495681642,83.81110505789468,0.6939898989217426,39.56620600976848,29.501677613910342,88.61334328888019,11.386656711119816,60.43379399023152,30.769372004920655
17,299,00000,DISTRICT,Jaintia Hills,Total,66028,395124,196285,198839,90911,46011,44900,1317,784,533,376099,185866,190233,187527,87371,100156,207597,108914,98683,154180,88839,65341,110617,67267,43350,43665,27273,16392,18600,10986,7614,1283,599,684,47069,28409,18660,43563,21572,21991,7179,3643,3536,17166,8329,8837,721,250,471,18497,9350,9147,240944,107446,133498,1013.0116921822861,23.0082202042903,0.3333130865247365,95.18505583057471,61.643322277483215,58.14112887126183,65.06213500152657,-6.921006130264743,39.02066186817303,32.86125961204794,71.74536256323776,28.254637436762227,60.979338131826964,40.38461538461539
18,300,00000,DISTRICT,Kokrajhar,Total,181081,887142,452905,434237,136924,70085,66839,29570,15386,14184,278665,139579,139086,489305,275220,214085,397837,177685,220152,341131,236322,104809,253110,198804,54306,128150,103962,24188,29518,20604,8914,7337,3888,3449,88105,70350,17755,88021,37518,50503,28603,11127,17476,26812,10710,16102,5086,1248,3838,27520,14433,13087,546011,216583,329428,958.7816429494044,15.434282223139023,3.333175523196963,31.411544036918553,65.22170888994933,71.89279556971945,58.270594831762835,13.622200737956618,38.452806878718405,24.136358716553403,74.19730250255768,25.802697497442335,61.547193121281595,46.21919438573451
18,301,00000,DISTRICT,Dhubri,Total,414674,1949258,997848,951410,368262,187092,181170,70395,36359,34036,6332,3198,3134,922341,511551,410790,1026917,486297,540620,669819,524898,144921,504998,447077,57921,179873,171480,8393,107424,92031,15393,16019,10882,5137,201682,172684,28998,164821,77821,87000,25432,12416,13016,63692,30716,32976,11803,3471,8332,63894,31218,32676,1279439,472950,806489,953.461849900987,18.89241957709036,3.611374174172942,0.3248415550942974,58.339236784912806,63.095555259535544,53.332727461570414,9.76282779796513,34.36276778138143,15.232234262830957,75.39320323848682,24.606796761513188,65.63723221861856,42.891736424317614
18,302,00000,DISTRICT,Goalpara,Total,198454,1008183,513292,494891,171657,87457,84200,45094,22999,22095,231570,116013,115557,563577,304302,259275,444606,208990,235616,362573,267118,95455,266376,222680,43696,108908,94864,14044,37509,28145,9364,7710,4977,2733,112249,94694,17555,96197,44438,51759,17641,8345,9296,38319,16414,21905,6636,1543,5093,33601,18136,15465,645610,246174,399436,964.1510095618089,17.026373188200953,4.472799085086735,22.96904431040793,67.37112773542006,71.46007256331679,63.13140536315625,8.328667200160538,35.963014651109965,19.288085659266386,73.46823949935599,26.53176050064401,64.03698534889003,40.38276429849989
18,303,00000,DISTRICT,Barpeta,Total,337929,1693622,867004,826618,287829,146777,141052,95320,49165,46155,27344,13530,13814,897058,499038,398020,796564,367966,428598,561824,445297,116527,439453,389372,50081,184770,176260,8510,56932,48689,8243,16499,10548,5951,181252,153875,27377,122371,55925,66446,20489,10275,10214,42014,21376,20638,13843,2661,11182,46025,21613,24412,1131798,421707,710091,953.4189000281428,16.99487843214129,5.628174409638042,1.6145279170912992,63.81152843982009,69.28898805515483,58.057138189466805,11.231849865688027,33.17292760722286,14.096837959008877,78.21897960927265,21.781020390727345,66.82707239277713,43.02094606140001
18,304,00000,DISTRICT,Morigaon,Total,184602,957423,486651,470772,163819,83746,80073,117841,60194,57647,136777,68382,68395,539902,289698,250204,417521,196953,220568,351148,257984,93164,260968,221150,39818,134827,120447,14380,40019,33689,6330,6598,3608,2990,79524,63406,16118,90180,36834,53346,22785,9696,13089,35965,14840,21125,7748,1465,6283,23682,10833,12849,606275,228667,377608,967.3708674183347,17.110409923304537,12.30814384028794,14.285953021809586,68.03166314685913,71.90230947742023,64.04009224492512,7.862217232495112,36.676369796840056,19.78962215254943,74.31852096551881,25.681479034481185,63.323630203159944,49.79268000956861
18,305,00000,DISTRICT,Nagaon,Total,559340,2823768,1439112,1384656,459940,234203,225737,266350,136473,129877,115153,57759,57394,1710716,921850,788866,1113052,517262,595790,979998,766728,213270,734993,636533,98460,287452,266560,20892,107649,93032,14617,20130,13560,6570,319762,263381,56381,245005,130195,114810,58671,31135,27536,88525,49414,39111,17992,4710,13282,79817,44936,34881,1843770,672384,1171386,962.1599986658439,16.288165316697405,9.432432126152007,4.077990826441832,72.3705785700144,76.50785246022728,68.06912303620875,8.438729424018533,34.705329899623486,15.402381530141781,74.99943877436485,25.000561225635153,65.29467010037652,40.31651085002214
18,306,00000,DISTRICT,Sonitpur,Total,392919,1924110,983904,940206,277862,141353,136509,109130,55817,53313,232207,117685,114522,1108572,620525,488047,815538,363379,452159,770606,537195,233411,558325,441093,117232,196296,168732,27564,51007,36448,14559,13809,9545,4264,297213,226368,70845,212281,96102,116179,52827,22754,30073,63858,26233,37625,11910,3452,8458,83686,43663,40023,1153504,446709,706795,955.5871304517514,14.441066259205554,5.671713155692762,12.06828091949005,67.33930732186158,73.64836075204944,60.72524844562067,12.92311230642877,40.04999714153556,24.825516961176593,72.4527190289201,27.5472809710799,59.95000285846444,32.09201589398473
18,307,00000,DISTRICT,Lakhimpur,Total,204307,1042137,529674,512463,156739,80016,76723,81840,41689,40151,249426,126716,122710,683486,375552,307934,358651,154122,204529,429995,282250,147745,283533,223800,59733,148850,118700,30150,16154,12159,3995,4714,3279,1435,113815,89662,24153,146462,58450,88012,90527,33678,56849,27768,10229,17539,6269,1690,4579,21898,12853,9045,612142,247424,364718,967.5064284824251,15.040153070085797,7.853094170919945,23.93408928000829,77.19534040058821,83.51947480084864,70.6692064074907,12.850268393357936,41.26088988300003,28.830374095300538,65.9386737055082,34.06132629449179,58.73911011699997,38.3734694589472
18,308,00000,DISTRICT,Dhemaji,Total,129869,686133,351249,334884,104247,53457,50790,44225,23006,21219,325560,165449,160111,423028,237761,185267,263105,113488,149617,316800,186577,130223,201364,145683,55681,145889,102532,43357,4791,2983,1808,3109,1932,1177,47575,38236,9339,115436,40894,74542,86048,28891,57157,14390,5001,9389,4115,985,3130,10883,6017,4866,369333,164672,204661,953.4091200259644,15.193410024004091,6.445543356754449,47.44852674335734,72.69946346878942,79.8412986245433,65.21327447957366,14.628024144969643,46.17180634075318,38.88600231722029,63.561868686868685,36.43813131313131,53.82819365924683,47.563131313131315
18,309,00000,DISTRICT,Tinsukia,Total,268598,1327929,680231,647698,181826,92777,89049,37688,19443,18245,82066,41769,40297,798322,453449,344873,529607,226782,302825,557196,366623,190573,410188,297578,112610,102840,78239,24601,19483,12012,7471,6461,4404,2057,281404,202923,78481,147008,69045,77963,46642,19029,27613,28273,12335,15938,6780,2337,4443,65313,35344,29969,770733,313608,457125,952.173599850639,13.692448918579231,2.83810354318642,6.179999081276183,69.65534511296106,77.1888522335366,61.73339610381474,15.455456129721853,41.959773451743274,29.423126210054683,73.61646530125844,26.383534698741556,58.040226548256726,21.953316247783544
18,310,00000,DISTRICT,Dibrugarh,Total,276867,1326335,676434,649901,163210,83168,80042,58876,30517,28359,102871,51835,51036,884531,491361,393170,441804,185073,256731,560557,368013,192544,391597,284955,106642,86082,66299,19783,21792,13440,8352,6528,4682,1846,277195,200534,76661,168960,83058,85902,49112,22963,26149,39417,17303,22114,7834,2929,4905,72597,39863,32734,765778,308421,457357,960.7751827968435,12.3053376409429,4.438999197035439,7.756034486008437,76.04780225685116,82.82305070575426,68.99425998360998,13.828790722144277,42.26360610253066,29.626666215315872,69.85855140512027,30.141448594879737,57.73639389746934,19.24407330565848
18,311,00000,DISTRICT,Sivasagar,Total,248367,1151050,589216,561834,139380,71102,68278,42347,21568,20779,49039,24989,24050,813505,444767,368738,337545,144449,193096,485717,325071,160646,318950,237590,81360,70255,59184,11071,14008,9654,4354,6143,4513,1630,228544,164239,64305,166767,87481,79286,67845,36361,31484,34460,16332,18128,8389,2765,5624,56073,32023,24050,665333,264145,401188,953.5280779883778,12.108944007645194,3.6789887494027194,4.260370965640068,80.41209089920626,85.8434630216516,74.71046851826337,11.132994503388232,42.197732505104035,28.593143170402648,65.66580951459389,34.33419048540611,57.802267494895965,17.348167760238987
18,312,00000,DISTRICT,Jorhat,Total,236262,1092256,556805,535451,124594,63428,61166,88665,45194,43471,139971,70795,69176,794929,432335,362594,297327,124470,172857,498618,320746,177872,338635,249021,89614,98667,73535,25132,20176,12529,7647,14432,8304,6128,205360,154653,50707,159983,71725,88258,47218,20900,26318,32977,12353,20624,17111,4294,12817,62677,34178,28499,593638,236059,357579,961.6490512836631,11.407032783523277,8.117602466820966,12.814852928251252,82.14944887781064,87.62771673588351,76.45065730520678,11.177059430676735,45.65028711217883,33.2190994133917,67.91471627578628,32.085283724213724,54.34971288782117,23.834478498570046
18,313,00000,DISTRICT,Golaghat,Total,227197,1066888,543161,523727,134793,68662,66131,62298,31807,30491,111765,56420,55345,721764,396475,325289,345124,146686,198438,479928,309104,170824,331210,247086,84124,133659,107677,25982,25086,15757,9329,7778,4671,3107,164687,118981,45706,148718,62018,86700,56931,21731,35200,41530,15357,26173,7290,1918,5372,42967,23012,19955,586960,234057,352903,964.220553390247,12.634222148904103,5.839225860633919,10.475795022532825,77.43459625896502,83.55655122560849,71.08650425265955,12.470046972948936,44.98391583746373,32.616993204474845,69.01243519861312,30.987564801386874,55.01608416253627,33.07683652547882
18,314,00000,DISTRICT,Karbi Anglong,Total,177646,956313,490167,466146,151681,77428,74253,44961,23436,21525,538738,272460,266278,557214,314253,242961,399099,175914,223185,383441,246193,137248,260482,200965,59517,163800,128566,35234,20595,12631,7964,5085,2422,2663,71002,57346,13656,122959,45228,77731,59220,22267,36953,40357,12138,28219,4776,1001,3775,18606,9822,8784,572872,243974,328898,950.9942529790867,15.861020398133247,4.701494176069969,56.33490290312899,69.2507879378399,76.13843130889012,61.996769526375815,14.141661782514305,40.095763625507544,29.44313584156037,67.93274584616668,32.06725415383331,59.90423637449245,48.08953659102704
18,315,00000,DISTRICT,Dima Hasao,Total,42252,214102,110802,103300,32414,16480,15934,4337,2340,1997,151843,76520,75323,140873,78559,62314,73229,32243,40986,85028,56323,28705,68297,49811,18486,35375,23693,11682,1833,1367,466,750,517,233,30339,24234,6105,16731,6512,10219,9105,3291,5814,2985,1134,1851,742,143,599,3899,1944,1955,129074,54479,74595,932.2936409090089,15.13951294242931,2.025670007753314,70.92086949211124,77.53566553652416,83.28809821674689,71.32522949431129,11.962868722435601,39.713781281818946,27.787996127783153,80.3229524391965,19.6770475608035,60.28621871818105,43.759702686173966
18,316,00000,DISTRICT,Cachar,Total,379955,1736617,886284,850333,256774,131417,125357,264897,136051,128846,17569,8736,8833,1174128,639946,534182,562489,246338,316151,608062,469752,138310,471259,395681,75578,104295,95599,8696,37204,31159,6045,11226,6707,4519,318534,262216,56318,136803,74071,62732,16061,10498,5563,31460,18248,13212,13240,2953,10287,76042,42372,33670,1128555,416532,712023,959.4362529392384,14.78587391462827,15.253622416456825,1.0116796046566399,79.34138959335552,84.77599365186185,73.68271501401425,11.093278637847604,35.01416835145573,16.265392499173853,77.50180080320757,22.49819919679243,64.98583164854426,23.270488864622358
18,317,00000,DISTRICT,Karimganj,Total,247714,1228686,625864,602822,211960,107638,104322,157890,81384,76506,1940,994,946,795297,435942,359355,433389,189922,243467,399171,319798,79373,293392,256238,37154,80088,75274,4814,36618,32304,4314,8181,4478,3703,168505,144182,24323,105779,63560,42219,14260,9117,5143,30415,20199,10216,9254,2289,6965,51850,31955,19895,829515,306066,523449,963.1836948602253,17.250949388208216,12.850313261484219,0.157892252373674,78.22136937582003,84.12198538861423,72.08726178535608,12.034723603258158,32.48763313002671,13.16690499019611,73.50032943274938,26.49967056725063,67.51236686997328,29.237093877060204
18,318,00000,DISTRICT,Hailakandi,Total,143350,659296,337890,321406,111278,56936,54342,70659,36369,34290,691,354,337,407366,226836,180530,251930,111054,140876,214240,170792,43448,165193,141385,23808,56144,53679,2465,17718,16035,1683,3264,1765,1499,88067,69906,18161,49047,29407,19640,9529,6833,2696,13530,9971,3559,4049,721,3328,21939,11882,10057,445056,167098,277958,951.2148924206103,16.87830655729748,10.717340921225064,0.10480876571373102,74.33441967234653,80.73777201961887,67.59802893688405,13.139743082734824,32.495267679464156,13.518104826916735,77.10651605675878,22.893483943241225,67.50473232053584,34.476288274831965
18,319,00000,DISTRICT,Bongaigaon,Total,150018,738804,375818,362986,116392,59099,57293,82784,42513,40271,18835,9377,9458,434078,237114,196964,304726,138704,166022,255806,197542,58264,191671,167483,24188,66767,62471,4296,24914,19359,5555,4756,3453,1303,95234,82200,13034,64135,30059,34076,16675,5966,10709,22492,10729,11763,4729,1255,3474,20239,12109,8130,482998,178276,304722,965.8558131861698,15.754110697830548,11.205136951072275,2.5493906367588695,69.741264628574,74.8657327157512,64.43196278619399,10.4337699295572,34.624338796216584,16.0513077639358,74.9282659515414,25.071734048458598,65.37566120378341,35.840050663393356
18,320,00000,DISTRICT,Chirang,Total,97395,482162,244860,237302,73215,37201,36014,35135,18105,17030,178688,89273,89415,259902,145869,114033,222260,98991,123269,193894,128762,65132,139027,106201,32826,66774,52686,14088,15896,10355,5541,4241,2081,2160,52116,41079,11037,54867,22561,32306,13554,5295,8259,19328,6687,12641,3431,730,2701,18554,9849,8705,288268,116098,172170,969.1333823409295,15.184730443294992,7.286969939563881,37.0597434057433,63.55395686971661,70.24448735667609,56.65166328842256,13.592824068253528,40.21345522874055,27.446882032178404,71.7025797600751,28.297420239924907,59.78654477125945,42.63669840221977
18,321,00000,DISTRICT,Kamrup,Total,311114,1517542,778461,739081,200061,101716,98345,107827,55237,52590,182038,92094,89944,995319,550219,445100,522223,228242,293981,628954,428492,200462,421244,346863,74381,149738,134767,14971,42121,31540,10581,29452,14420,15032,199933,166136,33797,207710,81629,126081,36065,15025,21040,57401,23829,33572,39654,6724,32930,74590,36051,38539,888588,349969,538619,949.4130084872588,13.183226559792086,7.105371712941058,11.995582329846554,75.5471236397337,81.30374069996823,69.46698796384159,11.836752736126641,41.44557448821845,27.123143471419237,66.97532728943611,33.02467271056389,58.55442551178155,30.504456605729512
18,322,00000,DISTRICT,Kamrup Metropolitan,Total,293112,1253938,647585,606353,125386,64444,60942,101789,52106,49683,75121,37902,37219,1001191,537227,463964,252747,110358,142389,490932,375613,115319,413154,334724,78430,20677,17606,3071,8259,5843,2416,7973,5355,2618,376245,305920,70325,77778,40889,36889,4573,2537,2036,8736,3286,5450,4490,1457,3033,59979,33609,26370,763006,271972,491034,936.3295937984974,9.999377959675837,8.11754648156448,5.990806563003912,88.71465382188858,92.12643254375872,85.06685783748402,7.059574706274702,39.151218002803965,19.018459544192904,84.15707266994207,15.842927330057929,60.848781997196035,5.8940953125891165
18,323,00000,DISTRICT,Nalbari,Total,155248,771639,396006,375633,95333,48458,46875,60216,30654,29562,23364,11692,11672,531771,293184,238587,239868,102822,137046,267623,210202,57421,196773,172308,24465,51345,48028,3317,19603,17452,2151,8578,4913,3665,117247,101915,15332,70850,37894,32956,6725,4371,2354,15381,9555,5826,10724,2299,8425,38020,21669,16351,504016,185804,318212,948.5538097907607,12.354611418033562,7.803649115713436,3.027840738998418,78.62875680535141,84.35784409635504,72.57222637928203,11.78561771707301,34.68240977970268,15.286463116925297,73.52619169503369,26.47380830496631,65.31759022029732,26.51042698123853
18,324,00000,DISTRICT,Baksa,Total,191701,950075,481330,468745,122872,62498,60374,73083,37534,35549,331007,165634,165373,572837,322614,250223,377238,158716,218522,406756,266611,140145,278297,215948,62349,124450,106757,17693,44447,31027,13420,10433,5042,5391,98967,73122,25845,128459,50663,77796,24838,10526,14312,50144,19219,30925,9877,1961,7916,43600,18957,24643,543319,214719,328600,973.8536970477635,12.93287372049575,7.692340078414863,34.84009157171803,69.24986974176835,77.02706574473774,61.27344987768475,15.753615867052993,42.81304107570455,29.89791891113505,68.41865885198989,31.58134114801011,57.18695892429545,41.52292775029748
18,325,00000,DISTRICT,Darrang,Total,187783,928500,475273,453227,156408,79437,76971,40260,20566,19694,8419,4300,4119,487039,268666,218373,441461,206607,234854,324843,246864,77979,241456,209831,31625,107473,98837,8636,46418,39262,7156,4606,2850,1756,82959,68882,14077,83387,37033,46354,21983,8808,13175,35199,16736,18463,5936,1066,4870,20269,10423,9846,603657,228409,375248,953.6140281480328,16.84523424878837,4.336025848142165,0.9067312870220787,63.0804360102164,67.8730585393951,58.038410018710664,9.83464852068444,34.985783521809374,17.205285651560917,74.33006098330578,25.669939016694222,65.01421647819063,47.3739621909661
18,326,00000,DISTRICT,Udalguri,Total,168717,831668,421617,410051,113274,57410,55864,37844,19402,18442,267372,133550,133822,469926,264326,205600,361742,157291,204451,345030,230690,114340,253178,194782,58396,105110,91950,13160,36120,25800,10320,6259,3770,2489,105689,73262,32427,91852,35908,55944,19714,7544,12170,36624,13560,23064,5542,1111,4431,29972,13693,16279,486638,190927,295711,972.5675198106338,13.620098404651856,4.550373466335124,32.148886334450765,65.41340824116014,72.57576048785444,58.04843204296035,14.527328444894088,41.486506634859104,27.884336338650556,73.3785467930325,26.62145320696751,58.5134933651409,40.93267252123004
19,327,00000,DISTRICT,Darjiling,Total,391234,1846823,937259,909564,193169,98933,94236,317275,161495,155780,397389,197251,200138,1315585,717673,597912,531238,219586,311652,683726,479586,204140,532855,396341,136514,51984,41632,10352,32087,23372,8715,10517,7863,2654,438267,323474,114793,150871,83245,67626,24194,13062,11132,33954,16996,16958,6062,2804,3258,86661,50383,36278,1163097,457673,705424,970.4510706218879,10.459529689634579,17.17950231289084,21.517438325167056,79.5562433253873,85.60786615230829,73.3339220534558,12.273944098852496,37.02173949533875,22.443720287962144,77.93399695199538,22.06600304800461,62.97826050466124,12.296007464978661
19,328,00000,DISTRICT,Jalpaiguri,Total,868326,3872846,1983064,1889782,461700,236117,225583,1458278,750841,707437,731704,365868,365836,2498780,1396622,1102158,1374066,586442,787624,1512910,1091361,421549,1153765,922182,231583,181104,167234,13870,212657,166901,45756,18115,13334,4781,741889,574713,167176,359145,169179,189966,33828,15367,18461,137015,53684,83331,11975,4315,7660,176327,95813,80514,2359936,891703,1468233,952.9606709617037,11.921465506245278,37.65391136130897,18.89318604457807,73.25338757121507,79.94644371008394,66.22753649052787,13.718907219556073,39.06455356086971,22.306752842391344,76.26131098346895,23.738689016531055,60.93544643913029,26.02672994427957
19,329,00000,DISTRICT,Koch Bihar,Total,665720,2819086,1451542,1367544,344645,176940,167705,1414336,728506,685830,18125,9388,8737,1850504,1028733,821771,968582,422809,545773,1127977,845308,282669,886357,749848,136509,312014,283599,28415,272435,212822,59613,26147,16063,10084,275761,237364,38397,241620,95460,146160,52783,19146,33637,119440,44603,74837,14446,3206,11240,54951,28505,26446,1691109,606234,1084875,942.1318845751622,12.225416322879118,50.170019644664976,0.6429388816091457,74.7847291570096,80.71013539912852,68.49010575585558,12.220029643272937,40.01215287508079,20.669828539337672,78.57935046547935,21.42064953452065,59.98784712491921,51.81391109925114
19,330,00000,DISTRICT,Uttar Dinajpur,Total,605674,3007134,1551066,1456068,485157,248402,236755,807950,418288,389662,162816,81831,80985,1489667,853495,636172,1517467,697571,819896,1075626,799627,275999,824342,688769,135573,226346,211115,15231,294195,238667,55528,21947,10091,11856,281854,228896,52958,251284,110858,140426,31031,14125,16906,148133,67298,80835,16031,2608,13423,56089,26827,29262,1931508,751439,1180069,938.7530898104917,16.133534455065853,26.86777509748485,5.414324735778319,59.067430036039184,65.51919758279956,52.17462620344408,13.344571379355486,35.76914098274304,18.955090009532523,76.63834827347051,23.36165172652948,64.23085901725696,48.39423740221973
