State,District,Subdistt,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,Sex_Ratio,Child_Pop_Pct,SC_Pop_Pct,ST_Pop_Pct,Literacy_Rate,Male_Literacy_Rate,Female_Literacy_Rate,Gender_Literacy_Gap,Worker_Participation,Female_Worker_Part,Main_Worker_Pct,Marginal_Worker_Pct,Non_Worker_Pct,Agri_Worker_Pct
09,161,00000,DISTRICT,Etawah,Total,277527,1581810,845856,735954,227470,121295,106175,388283,208731,179552,169,89,80,1062003,623583,438420,519807,222273,297534,506072,413713,92359,361588,321871,39717,146309,136787,9522,84275,75426,8849,13494,9737,3757,117510,99921,17589,144484,91842,52642,24518,12102,12416,73751,50349,23402,7309,3412,3897,38906,25979,12927,1075738,432143,643595,870.0700828509817,14.38036173750324,24.546753402747484,0.01068396330785619,78.41479982869885,86.06356124605105,69.61489665422314,16.448664591827907,31.99322295345206,12.549561521508137,71.44991226544839,28.550087734551603,68.00677704654794,45.56347713368849
09,162,00000,DISTRICT,Auraiya,Total,248197,1379545,740040,639505,200517,105739,94778,391622,211413,180209,150,91,59,930836,546198,384638,448709,193842,254867,442023,364543,77480,325721,291727,33994,144778,136306,8472,89913,78453,11460,7224,5400,1824,83806,71568,12238,116302,72816,43486,21953,10250,11703,61814,41391,20423,5309,2294,3015,27226,18881,8345,937522,375497,562025,864.1492351764769,14.535009731469433,28.38776553138897,0.01087315020532132,78.94943970796284,86.11022211852102,70.61115017247171,15.499071946049312,32.041216488044974,12.115620675366104,73.6886994568156,26.31130054318441,67.95878351195502,53.094748463315256
09,163,00000,DISTRICT,Kanpur Dehat,Total,329817,1796184,963255,832929,251965,132839,119126,460544,248195,212349,801,398,403,1170243,692964,477279,625941,270291,355650,628864,493991,134873,448651,385967,62684,195521,176678,18843,133547,109622,23925,12734,9242,3492,106849,90425,16424,180213,108024,72189,29465,14238,15227,100522,62124,38398,8049,3812,4237,42177,27850,14327,1167320,469264,698056,864.7024931093013,14.027794479852842,25.640134863688797,0.04459454042570249,75.78219151558166,83.44781410762798,66.86424685802666,16.583567249601316,35.011112447277114,16.19261665760227,71.34308848972115,28.656911510278853,64.98888755272289,52.32737125992265
09,164,00000,DISTRICT,Kanpur Nagar,Total,863338,4581268,2459806,2121462,509924,272268,237656,816754,439603,377151,3753,2108,1645,3243022,1829179,1413843,1338246,630627,707619,1572232,1299871,272361,1229166,1067154,162012,174576,157094,17482,160204,131688,28516,50941,41942,8999,843445,736430,107015,343066,232717,110349,23971,12285,11686,98586,61538,37048,17797,9905,7892,202712,148989,53723,3009036,1159935,1849101,862.4509412530907,11.130630209802177,17.828120948174174,0.08192055125349576,79.6548265142911,83.6181588616975,75.05247355619422,8.56568530550328,34.31870827028674,12.838363355082485,78.1796834055025,21.820316594497505,65.68129172971325,21.293295137104447
09,165,00000,DISTRICT,Jalaun,Total,288338,1689974,906092,783882,231997,123342,108655,468178,252588,215590,832,428,404,1075196,653430,421766,614778,252662,362116,620764,470969,149795,420266,360043,60223,167462,152825,14637,125266,101769,23497,14606,9864,4742,112932,95585,17347,200498,110926,89572,29151,12821,16330,117769,63270,54499,11503,4797,6706,42075,30038,12037,1069210,435123,634087,865.1240712863595,13.72784433369981,27.70326644078548,0.04923152663887137,73.74574496031144,83.47876077930374,62.46284582814372,21.01591495116002,36.73216274333215,19.109381258913967,67.701413097409,32.298586902591005,63.26783725666786,47.156085082253476
09,166,00000,DISTRICT,Jhansi,Total,367779,1998603,1057436,941167,260373,139559,120814,562505,297386,265119,3873,2074,1799,1304513,783705,520808,694090,273731,420359,814914,565357,249557,560041,443645,116396,189840,156790,33050,126789,85588,41201,27248,18175,9073,216164,183092,33072,254873,121712,133161,39041,14227,24814,121283,52768,68515,21400,8218,13182,73149,46499,26650,1183689,492079,691610,890.0463006744617,13.02774988329348,28.144909219089538,0.1937853590733127,75.04835378517227,85.38235515216091,63.48584085143835,21.896514300722565,40.77418076526454,26.515698064211772,68.72393896779292,31.276061032207082,59.22581923473547,38.85428401033729
09,167,00000,DISTRICT,Lalitpur,Total,222094,1221592,641011,580581,212205,110745,101460,240519,126325,114194,71610,36834,34776,641191,397586,243605,580401,243425,336976,503351,326783,176568,357033,278499,78534,218881,176701,42180,59275,37953,21322,9238,6260,2978,69639,57585,12054,146318,48284,98034,48699,11035,37664,72079,22926,49153,5644,1893,3751,19896,12430,7466,718241,314228,404013,905.727046805749,17.37118448712827,19.68897962658564,5.862022672054172,63.52281136967288,74.97859564822184,50.84415001638417,24.13444563183767,41.20451018015835,30.41229389180838,70.93121897045998,29.068781029540027,58.79548981984165,55.26084183800172
09,168,00000,DISTRICT,Hamirpur,Total,204863,1104285,593537,510748,154355,81834,72521,241198,130269,110929,474,259,215,653299,408125,245174,450986,185412,265574,443655,308527,135128,290375,233058,57317,109940,94849,15091,89590,64173,25417,10532,7549,2983,80313,66487,13826,153280,75469,77811,20374,7465,12909,91859,43397,48462,9344,3933,5411,31703,20674,11029,660630,285010,375620,860.5158566357278,13.97782275408975,21.842006366110198,0.04292370176177345,68.77338330192751,79.75818003802986,55.94680382541468,23.81137621261518,40.17576984202448,26.456882846335176,65.45063168452965,34.54936831547035,59.82423015797552,44.97413530784055
09,169,00000,DISTRICT,Mahoba,Total,158435,875958,466358,409600,128129,67720,60409,220898,117389,103509,647,355,292,488106,302283,185823,387852,164075,223777,349676,237153,112523,238712,184837,53875,96439,80339,16100,66682,44672,22010,8177,5893,2284,67414,53933,13481,110964,52316,58648,17805,6429,11376,63740,28262,35478,5346,2224,3122,24073,15401,8672,526282,229205,297077,878.2952152638102,14.627299482395276,25.217875742900915,0.07386198881681542,65.2697341237101,75.82894756646381,53.215289053841595,22.613658512622216,39.91926553556221,27.471435546875,68.26662396046626,31.733376039533738,60.08073446443779,46.64918381587527
09,170,00000,DISTRICT,Banda,Total,319963,1799410,965876,833534,294972,155080,139892,387855,208184,179671,163,82,81,1002937,630626,372311,796473,335250,461223,701689,485314,216375,483232,384396,98836,202136,168611,33525,155295,110395,44900,11074,8511,2563,114727,96879,17848,218457,100918,117539,49619,15905,33714,118163,51394,66769,8024,3673,4351,42651,29946,12705,1097721,480562,617159,862.9824118209791,16.39270649824109,21.554565107451886,0.00905852473866434,66.66522648324491,77.7786274229276,53.67480631218986,24.10382111073774,38.995504081893515,25.958749133208727,68.8669766805522,31.13302331944779,61.00449591810649,50.93866370999118
09,171,00000,DISTRICT,Chitrakoot,Total,168232,991730,527721,464009,175311,91919,83392,266655,141379,125276,366,196,170,531072,330339,200733,460658,197382,263276,394197,254977,139220,282614,208896,73718,130790,100563,30227,89510,58700,30810,7966,5029,2937,54348,44604,9744,111583,46081,65502,29304,8550,20754,61185,24876,36309,4589,1847,2742,16505,10808,5697,597533,272744,324789,879.2695382598001,17.67729119820919,26.88786262389965,0.036905206054067136,65.04895158000977,75.80024873681167,52.73884245842934,23.06140627838233,39.74841942867514,30.00372837595823,71.693594826952,28.306405173047995,60.25158057132486,55.88576270240514
09,172,00000,DISTRICT,Fatehpur,Total,472238,2632733,1384722,1248011,390089,204562,185527,651480,342892,308588,340,189,151,1512166,911003,601163,1120567,473719,646848,1063929,713736,350193,670156,521433,148723,264317,217171,47146,204936,144043,60893,26625,17164,9461,174278,143055,31223,393773,192303,201470,64441,24587,39854,220430,103924,116506,24930,9725,15205,83972,54067,29905,1568804,670986,897818,901.2718798430299,14.816884203601353,24.745388157477418,0.012914336546850745,67.42782180319303,77.19317719631236,56.580899100598224,20.61227809571414,40.411579905748134,28.06008921395725,62.9887896654758,37.0112103345242,59.58842009425187,44.10566870533654
09,173,00000,DISTRICT,Pratapgarh,Total,533546,3209141,1606085,1603056,453347,236478,216869,709252,351054,358198,723,380,343,1931559,1121381,810178,1277582,484704,792878,1066601,704569,362032,553013,419908,133105,206826,160719,46107,128274,86987,41287,35504,24975,10529,182409,147227,35182,513588,284661,228927,98920,52183,46737,258289,134952,123337,33138,17287,15851,123241,80239,43002,2142540,901516,1241024,998.1140475130519,14.126739834740823,22.100992134655346,0.022529393379723733,70.09083407540622,81.87611482710004,58.446515513419186,23.429599313680853,33.23633956875064,22.583864818197245,51.84816065239016,48.15183934760984,66.76366043124936,31.41755914348477
09,174,00000,DISTRICT,Kaushambi,Total,277851,1599596,838485,761111,272172,141512,130660,555397,291303,264094,193,102,91,813424,507279,306145,786172,331206,454966,639086,402644,236442,415312,292462,122850,112235,85520,26715,186914,120179,66735,16743,9725,7018,99420,77038,22382,223774,110182,113592,28867,12494,16373,134496,61361,73135,13748,6395,7353,46663,29932,16731,960510,435841,524669,907.7216646690161,17.015046299190544,34.72107957259208,0.012065546550504002,61.27838580589171,72.78316376674563,48.559681878528224,24.223481888217407,39.9529631231886,31.065376797865223,64.98530714176182,35.01469285823817,60.0470368768114,46.80888018200993
09,175,00000,DISTRICT,Allahabad,Total,976733,5954391,3131807,2822584,885355,467694,417661,1309851,687076,622775,7955,4270,3685,3665727,2199340,1466387,2288664,932467,1356197,2111907,1426110,685797,1286732,981133,305599,337502,258014,79488,234806,154452,80354,107231,66099,41132,607193,502568,104625,825175,444977,380198,136781,65625,71156,306340,151210,155130,78646,34769,43877,303408,193373,110035,3842484,1705697,2136787,901.2637113334251,14.868942936397694,21.998068316306405,0.13359888525963445,72.31605772774152,82.55430606734775,60.974384626867476,21.579921440480277,35.468060461598846,24.29677912154253,60.92749349284793,39.07250650715206,64.53193953840116,27.09910995133782
09,176,00000,DISTRICT,Bara Banki,Total,579058,3260699,1707073,1553626,519867,269084,250783,864559,453168,411391,610,333,277,1692458,1010518,681940,1568241,696555,871686,1192850,871241,321609,834294,677923,156371,385472,332055,53417,226170,170454,55716,51437,35091,16346,171215,140323,30892,358556,193318,165238,73007,34088,38919,195803,108097,87706,25798,11713,14085,63948,39420,24528,2067849,835832,1232017,910.1110497324953,15.943421947257322,26.51452955332584,0.018707645201228324,61.74978984483543,70.27299930667064,52.34245415602648,17.930545150644164,36.58264684964788,20.70054182924333,69.941233181037,30.05876681896299,63.41735315035212,51.27568428553464
09,177,00000,DISTRICT,Faizabad,Total,423375,2470996,1259628,1211368,360082,186440,173642,555047,281284,273763,931,469,462,1450901,838339,612562,1020095,421289,598806,831209,597888,233321,496579,404279,92300,193323,164309,29014,105778,79902,25876,25075,17761,7314,172403,142307,30096,334630,193609,141021,67083,34572,32511,166956,95514,71442,18430,9246,9184,82161,54277,27884,1639787,661740,978047,961.687101271169,14.572342488615927,22.462480716277973,0.03767711481524049,68.73330699403198,78.11669530408464,59.02926205954173,19.087433244542915,33.638621835081885,19.260951255109926,59.74177372959147,40.25822627040853,66.36137816491812,35.98385003049774
09,178,00000,DISTRICT,Ambedkar Nagar,Total,368728,2397888,1212410,1185478,339229,175552,163677,591125,298240,292885,746,406,340,1486939,846676,640263,910949,365734,545215,787398,547406,239992,440998,349437,91561,159824,134546,25278,109764,79204,30560,34788,26211,8577,136622,109476,27146,346400,197969,148431,53990,30893,23097,191356,108624,82732,23732,11561,12171,77322,46891,30431,1610490,665004,945486,977.7863923920125,14.146991018763178,24.65190200709958,0.03111071075880108,72.22852351943668,81.65785478821593,62.66024402011742,18.99761076809851,32.837146689086396,20.244323386853235,56.00700027178124,43.99299972821877,67.1628533109136,34.237831439754736
09,179,00000,DISTRICT,Sultanpur,Total,623523,3797117,1914586,1882531,563373,293043,270330,851587,431438,420149,696,358,338,2239902,1300248,939654,1557215,614338,942877,1242632,869838,372794,690967,548315,142652,250044,211950,38094,189727,139311,50416,46363,32198,14165,204833,164856,39977,551665,321523,230142,88846,50460,38386,311907,178808,133099,39422,20147,19275,111490,72108,39382,2554485,1044748,1509737,983.2574770733726,14.836861755905861,22.427199372576613,0.018329695924565927,69.2665220252438,80.18584767718154,58.28392365468078,21.901924022500765,32.72567055479196,19.802808028128087,55.60511881232738,44.39488118767262,67.27432944520804,35.390284492915036
